testament,book,chapter,source,source_verses,russian_verses,match
OT,DEU,5,WLC,33,33,True
OT,DEU,6,WLC,25,25,True
OT,DEU,7,WLC,26,26,True
OT,DEU,8,WLC,20,20,True
OT,DEU,9,WLC,29,29,True
OT,DEU,10,WLC,22,22,True
OT,DEU,11,WLC,32,32,True
OT,DEU,12,WLC,32,32,True
OT,DEU,13,WLC,18,18,True
OT,DEU,14,WLC,29,29,True
OT,DEU,15,WLC,23,23,True
OT,DEU,16,WLC,22,22,True
OT,DEU,17,WLC,20,20,True
OT,DEU,18,WLC,22,22,True
OT,DEU,19,WLC,21,21,True
OT,DEU,20,WLC,20,20,True
OT,DEU,21,WLC,23,23,True
OT,DEU,22,WLC,30,30,True
OT,DEU,23,WLC,25,25,True
OT,DEU,24,WLC,22,22,True
OT,DEU,25,WLC,19,19,True
OT,DEU,26,WLC,19,19,True
OT,DEU,27,WLC,26,26,True
