book,chapter,expected_verses,actual_verses,match
ISA,3,26,26,True
ISA,4,6,6,True
ISA,5,30,30,True
ISA,6,13,13,True
ISA,7,25,25,True
ISA,8,22,22,True
ISA,9,21,21,True
ISA,10,34,34,True
ISA,11,16,16,True
ISA,12,6,6,True
ISA,13,22,22,True
ISA,14,32,32,True
ISA,15,9,9,True
ISA,16,14,14,True
ISA,17,14,14,True
ISA,18,7,7,True
ISA,19,25,25,True
ISA,20,6,6,True
ISA,21,17,17,True
ISA,22,25,25,True
ISA,23,18,18,True
ISA,24,23,23,True
ISA,25,12,12,True
ISA,26,21,21,True
ISA,27,13,13,True
ISA,28,29,29,True
ISA,29,24,24,True
ISA,30,33,33,True
ISA,31,9,9,True
ISA,32,20,20,True
ISA,33,24,24,True
ISA,34,17,17,True
ISA,35,10,10,True
ISA,36,22,22,True
ISA,37,38,38,True
ISA,38,22,22,True
ISA,39,8,8,True
ISA,40,31,31,True
ISA,41,29,29,True
ISA,42,25,25,True
ISA,43,28,28,True
ISA,44,28,28,True
ISA,45,25,25,True
ISA,46,13,13,True
ISA,47,15,15,True
ISA,48,22,22,True
ISA,49,26,26,True
ISA,50,11,11,True
ISA,51,23,23,True
ISA,52,15,15,True
ISA,53,12,12,True
ISA,54,17,17,True
ISA,55,13,13,True
ISA,56,12,12,True
ISA,57,21,21,True
ISA,58,14,14,True
ISA,59,21,21,True
ISA,60,22,22,True
ISA,61,11,11,True
ISA,62,12,12,True
ISA,63,19,19,True
ISA,64,12,12,True
ISA,65,25,25,True
ISA,66,24,24,True
JER,1,19,19,True
JER,2,37,37,True
JER,3,25,25,True
JER,4,31,31,True
JER,5,31,31,True
JER,6,30,30,True
JER,7,34,34,True
JER,8,22,22,True
JER,9,26,26,True
JER,10,25,25,True
JER,11,23,23,True
JER,12,17,17,True
JER,13,27,27,True
JER,14,22,22,True
JER,15,21,21,True
JER,16,21,21,True
JER,17,27,27,True
JER,18,23,23,True
JER,19,15,15,True
JER,20,18,18,True
JER,21,14,14,True
JER,22,30,30,True
JER,23,40,40,True
JER,24,10,10,True
JER,25,38,38,True
JER,26,24,24,True
JER,27,22,22,True
JER,28,17,17,True
JER,29,32,32,True
JER,30,24,24,True
JER,31,40,40,True
JER,32,44,44,True
JER,33,26,26,True
JER,34,22,22,True
JER,35,19,19,True
JER,36,32,32,True
JER,37,21,21,True
JER,38,28,28,True
JER,39,18,18,True
JER,40,16,16,True
JER,41,18,18,True
JER,42,22,22,True
JER,43,13,13,True
JER,44,30,30,True
JER,45,5,5,True
JER,46,28,28,True
JER,47,7,7,True
JER,48,47,47,True
JER,49,39,39,True
JER,50,46,46,True
JER,51,64,64,True
JER,52,34,34,True
LAM,1,22,22,True
LAM,2,22,22,True
LAM,3,66,66,True
LAM,4,22,22,True
LAM,5,22,22,True
EZK,1,28,28,True
EZK,2,10,10,True
EZK,3,27,27,True
EZK,4,17,17,True
EZK,5,17,17,True
EZK,6,14,14,True
EZK,7,27,27,True
EZK,8,18,18,True
EZK,9,11,11,True
EZK,10,22,22,True
EZK,11,25,25,True
EZK,12,28,28,True
EZK,13,23,23,True
EZK,14,23,23,True
EZK,15,8,8,True
EZK,16,63,63,True
EZK,17,24,24,True
EZK,18,32,32,True
EZK,19,14,14,True
