book,chapter,verse,flags,priority
LUK,12,52,TRANSLATION,normal
LUK,12,56,TRANSLATION,normal
LUK,13,1,TRANSLATION,normal
LUK,13,10,TRANSLATION,normal
LUK,13,11,TRANSLATION,normal
LUK,13,12,TRANSLATION,normal
LUK,13,15,TRANSLATION,normal
LUK,13,16,TRANSLATION,normal
LUK,13,20,TRANSLATION,normal
LUK,13,29,TRANSLATION,normal
LUK,13,32,TRANSLATION,normal
LUK,13,33,TRANSLATION,normal
LUK,13,35,TRANSLATION,normal
LUK,14,4,TRANSLATION,normal
LUK,14,7,TRANSLATION,normal
LUK,14,8,TRANSLATION,normal
LUK,14,9,TRANSLATION,normal
LUK,14,15,TRANSLATION,normal
LUK,14,20,TRANSLATION,normal
LUK,14,25,TRANSLATION,normal
LUK,14,29,TRANSLATION,normal
LUK,15,4,TRANSLATION,normal
LUK,15,10,TRANSLATION,normal
LUK,15,12,TRANSLATION,normal
LUK,15,15,TRANSLATION,normal
LUK,15,16,TRANSLATION,normal
LUK,15,17,TRANSLATION,normal
LUK,15,22,TRANSLATION,normal
LUK,15,23,TRANSLATION,normal
LUK,15,27,TRANSLATION,normal
LUK,15,30,TRANSLATION,normal
LUK,15,31,TRANSLATION,normal
LUK,16,1,TRANSLATION,normal
LUK,16,2,TRANSLATION,normal
LUK,16,6,TRANSLATION,normal
LUK,16,9,TRANSLATION,normal
LUK,16,11,TRANSLATION,normal
LUK,16,16,TRANSLATION,normal
LUK,16,17,TRANSLATION,normal
LUK,16,19,TRANSLATION,normal
LUK,16,21,TRANSLATION,normal
LUK,16,25,TRANSLATION,normal
LUK,16,27,TRANSLATION,normal
LUK,16,28,TRANSLATION,normal
LUK,16,30,TRANSLATION,normal
LUK,17,4,TRANSLATION,normal
LUK,17,7,TRANSLATION,normal
LUK,17,13,TRANSLATION,normal
LUK,17,15,TRANSLATION,normal
