decision,category,strongs,canonical_label,goi_form,kjv_form,webus_form,occurrence_count,unique_target_count,sample_refs,review_note
active_review,person_or_place,H4847,Mᵉrârîy,Merarites,Merari,Merari,3,3,NUM 4:33; NUM 4:42; NUM 4:45,
active_review,person_or_place,H6252,ʻAshtârôwth,Asharoth,Ashtaroth,Ashtaroth,3,3,JDG 2:13; 1SA 7:3; 1SA 12:10,
active_review,person_or_place,H6678,Tsôwbâʼ,Zoba,Zobah,Zobah,3,3,1SA 14:47; 2SA 8:3; 1CH 18:3,
active_review,person_or_place,H6955,Qᵉhâth,Kohathites,Kohath,Kohath,3,2,NUM 4:2; JOS 21:20,
active_review,person_or_place,H7467,Rᵉʻûwʼêl,Raguel,Reuel,Reuel,3,3,GEN 36:4; EXO 2:18; 1CH 9:8,
active_review,person_or_place,H758,ʼĂrâm,Syria,Syrians,Syrians,3,2,2KI 13:17; 2CH 24:24,
active_review,person_or_place,H7619,Shᵉbûwʼêl,Shebuel,Shubael,Shubael,3,2,1CH 24:20; 1CH 25:20,
active_review,person_or_place,H8114,Shᵉmaryâh,Shamariah,Shemariah,Shemariah,3,3,1CH 12:6; EZR 10:32; EZR 10:41,
active_review,person_or_place,G2195,Zakchaîos,Zacchæus,Zacchaeus,Zacchaeus,2,2,LUK 19:2; LUK 19:8,
active_review,divine_name_or_title,G2424,Iēsoûs,Jesus,JESUS,JESUS,2,2,MAT 27:37; JHN 19:19,
active_review,divine_name_or_title,G2962,kýrios,Lord,lord,lord,2,2,MRK 12:9; JHN 13:16,
active_review,divine_name_or_title,G2962,kýrios,lords,LORDS,LORDS,2,1,REV 19:16,
active_review,divine_name_or_title,G2962,kýrios,sir,Lord,Lord,2,2,JHN 8:11; JHN 9:36,
active_review,person_or_place,H1410,Gâd,Gadites,Gad,Gad,2,2,JOS 22:10; JOS 22:32,
active_review,person_or_place,H1705,Dăbrath,Dabareh,Daberath,Daberath,2,2,JOS 19:12; 1CH 6:57,
active_review,person_or_place,H1835,Dân,Danites,Dan,Dan,2,2,NUM 34:22; JDG 18:2,
active_review,person_or_place,H2218,Zered,Zared,Zered,Zered,2,1,DEU 2:13,
active_review,person_or_place,H2438,Chîyrâm,Huram,Hiram,Hiram,2,2,1KI 7:13; 1KI 10:11,
active_review,person_or_place,H2845,Chêth,Hethites,Hittite,Hittite,2,1,GEN 23:10,
active_review,divine_name_or_title,H3050,Yâhh,hallelujah,the LORD,the LORD,2,2,PSA 104:35; PSA 149:9,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,Jehovah,O LORD,O LORD,2,2,1SA 23:10; JER 5:3,
active_review,divine_name_or_title,H3068,Yᵉhôvâh,The Lord,The LORD,the LORD,2,1,RUT 2:4,
active_review,divine_name_or_title,H3069,Yᵉhôvih,LORD my Lord,Lord GOD,Lord GOD,2,2,ISA 52:4; ISA 61:11,
active_review,divine_name_or_title,H3069,Yᵉhôvih,Lord Jehovah,Lord GOD,Lord GOD,2,2,EZK 24:14; AMO 9:8,
active_review,divine_name_or_title,H3069,Yᵉhôvih,my Lord Jehovah,Lord GOD,Lord GOD,2,2,ISA 61:1; AMO 7:6,
active_review,person_or_place,H3087,Yᵉhôwtsâdâq,Jehozadek,Jehozadak,Jehozadak,2,2,1CH 5:40; 1CH 5:41,
active_review,person_or_place,H3111,Yôwyâdâʻ,Jehoiada,Joiada,Joiada,2,2,NEH 12:10; NEH 12:11,
active_review,person_or_place,H3232,Yimnâh,Imna,Imnah,Imnah,2,2,1CH 7:30; 2CH 31:14,
active_review,person_or_place,H3265,Yâʻûwr,Jaare—Oregim,Jair,Jair,2,1,1CH 20:5,
active_review,person_or_place,H3568,Kûwsh,Chush,Ethiopia,Ethiopia,2,2,2KI 19:9; EZK 30:5,
active_review,person_or_place,H3794,Kittîy,Chittim,Kittim,Kittim,2,2,GEN 10:4; 1CH 1:7,
active_review,person_or_place,H4024,Migdôwl,Migdol,tower,tower,2,2,EZK 29:10; EZK 30:6,
active_review,divine_name_or_title,H410,ʼêl,God,power,power,2,2,JOB 36:22; PSA 150:1,
active_review,divine_name_or_title,H410,ʼêl,God,might,might,2,2,PSA 78:7; PSA 78:8,
active_review,divine_name_or_title,H410,ʼêl,Mighty,God,God,2,2,JOB 20:29; JOB 22:17,
active_review,divine_name_or_title,H410,ʼêl,gods,GOD,GOD,2,1,EZK 28:2,
active_review,divine_name_or_title,H410,ʼêl,strong,God,God,2,2,NUM 23:22; JOB 15:25,
active_review,person_or_place,H4105,Mᵉhêyṭabʼêl,Mehetabeel,Mehetabel,Mehetabel,2,2,GEN 36:39; 1CH 1:50,
active_review,divine_name_or_title,H430,ʼĕlôhîym,gods,GOD,GOD,2,1,EZK 28:2,
active_review,person_or_place,H4326,Mîyâmin,Miamin,Mijamin,Mijamin,2,2,1CH 24:9; NEH 10:8,
active_review,person_or_place,H5177,Nachshôwn,Naashon,Nahshon,Nahshon,2,2,NUM 2:3; 1CH 2:11,
active_review,person_or_place,H5543,Çallûw,Sallai,Sallu,Sallu,2,2,1CH 9:7; NEH 12:7,
active_review,person_or_place,H5740,ʻÊder,Edar,Eder,Eder,2,2,1CH 23:23; 1CH 24:30,
active_review,person_or_place,H5933,ʻAlvâh,Alvah,Aliah,Aliah,2,1,1CH 1:51,
active_review,divine_name_or_title,H5945,ʻelyôwn,exalted,high,high,2,2,1KI 9:8; 2CH 7:21,
active_review,person_or_place,H5964,ʻÂlemeth,Alameth,Alemeth,Alemeth,2,2,1CH 8:36; 1CH 9:42,
active_review,person_or_place,H6439,Pᵉnûwʼêl,Peniel,Penuel,Penuel,2,2,1KI 12:25; 1CH 4:4,
active_review,person_or_place,H6689,Tsûwph,Zif,Zuph,Zuph,2,1,1CH 6:20,
active_review,person_or_place,H6946,Qâdêsh,kadesh,Kadesh,Kadesh,2,2,EZK 47:19; EZK 48:28,
active_review,person_or_place,H7205,Rᵉʼûwbên,Reubenites,Reuben,Reuben,2,2,JOS 22:10; JOS 22:32,
active_review,person_or_place,H758,ʼĂrâm,Aram,Mesopotamia,Mesopotamia,2,2,JDG 3:10; 1CH 19:6,
active_review,person_or_place,H758,ʼĂrâm,Syrians,Syria,Syria,2,1,2KI 13:19,
active_review,person_or_place,H7597,Shᵉʼaltîyʼêl,Shalthiel,Shealtiel,Shealtiel,2,2,EZR 3:2; HAG 2:2,
active_review,person_or_place,H763,ʼĂram Nahărayim,Aram Naharaim,Mesopotamia,Mesopotamia,2,1,DEU 23:5,
active_review,person_or_place,H7755,Sôwkôh,Shochoh,Socoh,Socoh,2,2,JOS 15:35; JOS 15:48,
active_review,person_or_place,H7974,Shelach,Salah,Shelah,Shelah,2,1,1CH 1:18,
active_review,person_or_place,H8035,Shêm,Sem,Shem,Shem,2,2,GEN 9:18; 1CH 1:4,
active_review,person_or_place,H804,ʼAshshûwr,Asshur,Assyrians,Assyrians,2,2,EZK 16:28; EZK 23:23,
active_review,person_or_place,H804,ʼAshshûwr,Assyria,Asshur,Asshur,2,2,NUM 24:22; EZK 32:22,
active_review,person_or_place,H8050,Shᵉmûwʼêl,Samuel,Shemuel,Shemuel,2,2,NUM 34:20; 1CH 7:2,
active_review,person_or_place,H8169,Shaʻalbîym,Shaalabbin,Shaalbim,Shaalbim,2,2,JDG 1:35; 1KI 4:9,
active_review,person_or_place,H844,ʼAsrîyʼêl,Ashriel,Asriel,Asriel,2,2,NUM 26:31; JOS 17:2,
active_review,person_or_place,H8583,Tôʻûw,Toi,Tou,Tou,2,2,1CH 18:9; 1CH 18:10,
active_review,person_or_place,H8646,Terach,Tarah,Terah,Terah,2,2,GEN 11:26; GEN 11:31,
active_review,divine_name_or_title,G2316,theós,God,god,god,1,1,ACT 7:43,
active_review,divine_name_or_title,G2316,theós,God,exceeding,exceeding,1,1,2CO 9:14,
active_review,person_or_place,G2501,Iōsḗph,parents,Joseph,Joseph,1,1,LUK 2:43,
active_review,person_or_place,G2878,korbân,Corban,treasury,treasury,1,1,MAT 27:6,
active_review,divine_name_or_title,G2962,kýrios,Lord,master,master,1,1,LUK 13:25,
active_review,divine_name_or_title,G2962,kýrios,Lord,lords,lords,1,1,1TI 6:15,
active_review,divine_name_or_title,G2962,kýrios,master,Lord,Lord,1,1,LUK 12:42,
active_review,divine_name_or_title,G4151,pneûma,Spirit,spirit,spirit,1,1,1CO 7:34,
active_review,person_or_place,G4826,Symeṓn,Simeon,Simon,Simon,1,1,2PE 1:1,
active_review,person_or_place,G897,Babylṓn,Babylon,BABYLON,BABYLON,1,1,REV 17:5,
