phase,action,resolution,source,target,book,wlc_ch,wlc_v,note,dry_run
1,APPARATUS,APPARATUS,004_NUM_017_021_WLC.txt,004_NUM_018_008_WLC.txt,NUM,17,21,,True
1,APPARATUS,APPARATUS,004_NUM_017_022_WLC.txt,004_NUM_018_009_WLC.txt,NUM,17,22,,True
1,APPARATUS,APPARATUS,004_NUM_017_023_WLC.txt,004_NUM_018_010_WLC.txt,NUM,17,23,,True
1,APPARATUS,APPARATUS,004_NUM_017_024_WLC.txt,004_NUM_018_011_WLC.txt,NUM,17,24,,True
1,APPARATUS,APPARATUS,004_NUM_017_025_WLC.txt,004_NUM_018_012_WLC.txt,NUM,17,25,,True
1,APPARATUS,APPARATUS,004_NUM_017_026_WLC.txt,004_NUM_018_013_WLC.txt,NUM,17,26,,True
1,APPARATUS,APPARATUS,004_NUM_017_027_WLC.txt,004_NUM_018_014_WLC.txt,NUM,17,27,,True
1,APPARATUS,APPARATUS,004_NUM_017_028_WLC.txt,004_NUM_018_015_WLC.txt,NUM,17,28,,True
1,APPARATUS,APPARATUS,004_NUM_025_019_WLC.txt,004_NUM_026_001_WLC.txt,NUM,25,19,,True
1,APPARATUS,APPARATUS,004_NUM_030_017_WLC.txt,004_NUM_031_001_WLC.txt,NUM,30,17,,True
1,APPARATUS,APPARATUS,005_DEU_013_019_WLC.txt,005_DEU_014_001_WLC.txt,DEU,13,19,,True
1,APPARATUS,APPARATUS,005_DEU_023_026_WLC.txt,005_DEU_024_001_WLC.txt,DEU,23,26,,True
1,APPARATUS,APPARATUS,005_DEU_028_069_WLC.txt,005_DEU_029_001_WLC.txt,DEU,28,69,,True
1,APPARATUS,APPARATUS,009_1SA_021_016_WLC.txt,009_1SA_022_001_WLC.txt,1SA,21,16,,True
1,APPARATUS,APPARATUS,009_1SA_024_023_WLC.txt,009_1SA_025_001_WLC.txt,1SA,24,23,,True
1,APPARATUS,APPARATUS,010_2SA_019_044_WLC.txt,010_2SA_020_001_WLC.txt,2SA,19,44,,True
1,APPARATUS,APPARATUS,011_1KI_005_019_WLC.txt,011_1KI_005_001_WLC.txt,1KI,5,19,,True
1,APPARATUS,APPARATUS,011_1KI_005_020_WLC.txt,011_1KI_005_002_WLC.txt,1KI,5,20,,True
1,APPARATUS,APPARATUS,011_1KI_005_021_WLC.txt,011_1KI_005_003_WLC.txt,1KI,5,21,,True
1,APPARATUS,APPARATUS,011_1KI_005_022_WLC.txt,011_1KI_005_004_WLC.txt,1KI,5,22,,True
1,APPARATUS,APPARATUS,011_1KI_005_023_WLC.txt,011_1KI_005_005_WLC.txt,1KI,5,23,,True
1,APPARATUS,APPARATUS,011_1KI_005_024_WLC.txt,011_1KI_005_006_WLC.txt,1KI,5,24,,True
1,APPARATUS,APPARATUS,011_1KI_005_025_WLC.txt,011_1KI_005_007_WLC.txt,1KI,5,25,,True
1,APPARATUS,APPARATUS,011_1KI_005_026_WLC.txt,011_1KI_005_008_WLC.txt,1KI,5,26,,True
1,APPARATUS,APPARATUS,011_1KI_005_027_WLC.txt,011_1KI_005_009_WLC.txt,1KI,5,27,,True
1,APPARATUS,APPARATUS,011_1KI_005_028_WLC.txt,011_1KI_005_010_WLC.txt,1KI,5,28,,True
1,APPARATUS,APPARATUS,011_1KI_005_029_WLC.txt,011_1KI_005_011_WLC.txt,1KI,5,29,,True
1,APPARATUS,APPARATUS,011_1KI_005_030_WLC.txt,011_1KI_005_012_WLC.txt,1KI,5,30,,True
1,APPARATUS,APPARATUS,011_1KI_005_031_WLC.txt,011_1KI_005_013_WLC.txt,1KI,5,31,,True
1,APPARATUS,APPARATUS,011_1KI_005_032_WLC.txt,011_1KI_005_014_WLC.txt,1KI,5,32,,True
1,APPARATUS,APPARATUS,012_2KI_012_022_WLC.txt,012_2KI_013_001_WLC.txt,2KI,12,22,,True
1,APPARATUS,APPARATUS,013_1CH_005_027_WLC.txt,013_1CH_006_001_WLC.txt,1CH,5,27,,True
1,APPARATUS,APPARATUS,013_1CH_005_028_WLC.txt,013_1CH_006_002_WLC.txt,1CH,5,28,,True
1,APPARATUS,APPARATUS,013_1CH_005_029_WLC.txt,013_1CH_006_003_WLC.txt,1CH,5,29,,True
1,APPARATUS,APPARATUS,013_1CH_005_030_WLC.txt,013_1CH_006_004_WLC.txt,1CH,5,30,,True
1,APPARATUS,APPARATUS,013_1CH_005_031_WLC.txt,013_1CH_006_005_WLC.txt,1CH,5,31,,True
1,APPARATUS,APPARATUS,013_1CH_005_032_WLC.txt,013_1CH_006_006_WLC.txt,1CH,5,32,,True
1,APPARATUS,APPARATUS,013_1CH_005_033_WLC.txt,013_1CH_006_007_WLC.txt,1CH,5,33,,True
1,APPARATUS,APPARATUS,013_1CH_005_034_WLC.txt,013_1CH_006_008_WLC.txt,1CH,5,34,,True
1,APPARATUS,APPARATUS,013_1CH_005_035_WLC.txt,013_1CH_006_009_WLC.txt,1CH,5,35,,True
1,APPARATUS,APPARATUS,013_1CH_005_036_WLC.txt,013_1CH_006_010_WLC.txt,1CH,5,36,,True
1,APPARATUS,APPARATUS,013_1CH_005_037_WLC.txt,013_1CH_006_011_WLC.txt,1CH,5,37,,True
1,APPARATUS,APPARATUS,013_1CH_005_038_WLC.txt,013_1CH_006_012_WLC.txt,1CH,5,38,,True
1,APPARATUS,APPARATUS,013_1CH_005_039_WLC.txt,013_1CH_006_013_WLC.txt,1CH,5,39,,True
1,APPARATUS,APPARATUS,013_1CH_005_040_WLC.txt,013_1CH_006_014_WLC.txt,1CH,5,40,,True
1,APPARATUS,APPARATUS,013_1CH_005_041_WLC.txt,013_1CH_006_015_WLC.txt,1CH,5,41,,True
1,APPARATUS,APPARATUS,013_1CH_012_041_WLC.txt,013_1CH_013_001_WLC.txt,1CH,12,41,,True
1,APPARATUS,APPARATUS,014_2CH_001_018_WLC.txt,014_2CH_002_001_WLC.txt,2CH,1,18,,True
