side,reference,book,chapter,verse,category,note
WLC_ONLY,NUM 17:23,NUM,17,23,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,NUM 17:24,NUM,17,24,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,NUM 17:25,NUM,17,25,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,NUM 17:26,NUM,17,26,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,NUM 17:27,NUM,17,27,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,NUM 17:28,NUM,17,28,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,NUM 25:19,NUM,25,19,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,NUM 30:17,NUM,30,17,KNOWN_SHIFT_REMAP,Known WLC-vs-KJV chapter/verse shift; likely same content under a different KJV address.
WLC_ONLY,PSA 3:9,PSA,3,9,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 4:9,PSA,4,9,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 5:13,PSA,5,13,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 6:11,PSA,6,11,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 7:18,PSA,7,18,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 8:10,PSA,8,10,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 9:21,PSA,9,21,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 12:9,PSA,12,9,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 18:51,PSA,18,51,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 19:15,PSA,19,15,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 20:10,PSA,20,10,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 21:14,PSA,21,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 22:32,PSA,22,32,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 30:13,PSA,30,13,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 31:25,PSA,31,25,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 34:23,PSA,34,23,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 36:13,PSA,36,13,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 38:23,PSA,38,23,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 39:14,PSA,39,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 40:18,PSA,40,18,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 41:14,PSA,41,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 42:12,PSA,42,12,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 44:27,PSA,44,27,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 45:18,PSA,45,18,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 46:12,PSA,46,12,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 47:10,PSA,47,10,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 48:15,PSA,48,15,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 49:21,PSA,49,21,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 51:20,PSA,51,20,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 51:21,PSA,51,21,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 52:10,PSA,52,10,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 52:11,PSA,52,11,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 53:7,PSA,53,7,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 54:8,PSA,54,8,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 54:9,PSA,54,9,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 55:24,PSA,55,24,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 56:14,PSA,56,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
